Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,11/03/2021 20:05,AAMI Park,Storm,Rabbitohs,26 - 18
2,1,12/03/2021 18:00,McDonald Jones Stadium,Knights,Bulldogs,32 - 16
3,1,12/03/2021 20:05,Suncorp Stadium,Broncos,Eels,16 - 24
4,1,13/03/2021 15:00,Central Coast Stadium,Warriors,Titans,19 - 6
5,1,13/03/2021 17:30,Sydney Cricket Ground,Roosters,Sea Eagles,46 - 4
6,1,13/03/2021 19:35,Panthers Stadium,Panthers,Cowboys,24 - 0
7,1,14/03/2021 16:05,GIO Stadium,Raiders,Wests Tigers,30 - 12
8,1,14/03/2021 18:15,Netstrata Jubilee Stadium,Dragons,Sharks,18 - 32
9,2,18/03/2021 20:05,Bankwest Stadium,Eels,Storm,16 - 12
10,2,19/03/2021 18:00,Central Coast Stadium,Warriors,Knights,16 - 20
11,2,19/03/2021 20:05,Cbus Super Stadium,Titans,Broncos,28 - 16
12,2,20/03/2021 15:00,Bankwest Stadium,Bulldogs,Panthers,0 - 28
13,2,20/03/2021 17:30,4 Pines Park,Sea Eagles,Rabbitohs,12 - 26
14,2,20/03/2021 19:35,Queensland Country Bank Stadium,Cowboys,Dragons,18 - 25
15,2,21/03/2021 16:05,Campbelltown Sports Stadium,Wests Tigers,Roosters,6 - 40
16,2,21/03/2021 18:15,Netstrata Jubilee Stadium,Sharks,Raiders,10 - 12
17,3,25/03/2021 20:05,Panthers Stadium,Panthers,Storm,12 - 10
18,3,26/03/2021 18:00,WIN Stadium,Dragons,Sea Eagles,38 - 12
19,3,26/03/2021 20:05,Stadium Australia,Rabbitohs,Roosters,26 - 16
20,3,27/03/2021 15:00,GIO Stadium,Raiders,Warriors,31 - 34
21,3,27/03/2021 17:30,Suncorp Stadium,Broncos,Bulldogs,24 - 0
22,3,27/03/2021 19:35,Bankwest Stadium,Eels,Sharks,28 - 4
23,3,28/03/2021 16:05,McDonald Jones Stadium,Knights,Wests Tigers,20 - 24
24,3,28/03/2021 18:15,Queensland Country Bank Stadium,Cowboys,Titans,8 - 44
25,4,01/04/2021 20:05,4 Pines Park,Sea Eagles,Panthers,6 - 46
26,4,02/04/2021 16:05,Stadium Australia,Bulldogs,Rabbitohs,0 - 38
27,4,02/04/2021 20:05,AAMI Park,Storm,Broncos,40 - 6
28,4,03/04/2021 17:15,Netstrata Jubilee Stadium,Sharks,Cowboys,48 - 10
29,4,03/04/2021 19:45,Netstrata Jubilee Stadium,Titans,Raiders,4 - 20
30,4,04/04/2021 16:05,McDonald Jones Stadium,Knights,Dragons,13 - 22
31,4,04/04/2021 18:15,Sydney Cricket Ground,Roosters,Warriors,32 - 12
32,4,05/04/2021 16:00,Stadium Australia,Wests Tigers,Eels,22 - 36
