BEGIN
CREATE TABLE
INSERT 0 44
 rk |       team       |  str  |  ofs  |  dfs  |  sos  
----+------------------+-------+-------+-------+-------
  1 | England          |  5.68 |  3.00 | -2.68 |  3.95
  2 | New Zealand      |  5.31 |  2.88 | -2.43 |  4.13
  3 | France           |  4.70 |  2.43 | -2.27 |  4.01
  4 | Canada           |  4.60 |  2.49 | -2.11 |  4.20
  5 | Australia        |  3.79 |  1.88 | -1.91 |  4.31
  6 | Wales            |  3.68 |  2.05 | -1.62 |  3.87
  7 | Scotland         |  3.53 |  1.88 | -1.65 |  3.64
  8 | Italy            |  3.36 |  1.70 | -1.67 |  3.88
  9 | USA              |  3.04 |  1.69 | -1.35 |  4.32
 10 | Ireland          |  2.92 |  1.51 | -1.40 |  3.92
 11 | Japan            |  2.88 |  1.69 | -1.19 |  1.95
 12 | South Africa     |  2.73 |  1.45 | -1.27 |  2.25
 13 | Fiji             |  2.47 |  1.36 | -1.11 |  1.68
 14 | Spain            |  2.34 |  1.25 | -1.09 |  1.86
 15 | Samoa            |  2.31 |  1.29 | -1.01 |  1.57
 16 | Netherlands      |  0.40 |  0.49 |  0.09 | -0.74
 17 | Tonga            |  0.24 |  0.29 |  0.05 |  1.13
 18 | Kenya            |  0.11 |  0.02 | -0.09 | -0.72
 19 | Zimbabwe         | -0.29 |  0.36 |  0.66 | -1.52
 20 | Madagascar       | -0.31 |  0.14 |  0.45 | -0.08
 21 | Portugal         | -0.42 | -0.59 | -0.17 | -2.23
 22 | Colombia         | -0.48 | -0.21 |  0.26 |  0.28
 23 | Hong Kong        | -0.60 |  0.01 |  0.60 |  1.90
 24 | Hong Kong China  | -0.60 |  0.01 |  0.60 |  1.90
 25 | Kazakhstan       | -0.69 | -0.34 |  0.35 |  1.70
 26 | Brazil           | -0.72 | -0.20 |  0.52 | -0.46
 27 | Papua New Guinea | -1.06 | -0.30 |  0.75 |  1.67
 28 | Tunisia          | -1.21 | -0.60 |  0.60 | -1.78
 29 | Senegal          | -1.24 | -0.44 |  0.80 | -1.53
 30 | Russia           | -1.42 | -1.96 | -0.54 | -2.36
 31 | Sweden           | -1.99 | -1.34 |  0.65 | -0.65
 32 | Cameroon         | -1.99 | -1.46 |  0.54 | -2.33
 33 | Zambia           | -2.05 | -0.81 |  1.24 | -1.20
 34 | Uganda           | -2.24 | -0.86 |  1.38 |  0.07
 35 | Finland          | -2.71 | -1.52 |  1.19 | -4.01
 36 | Namibia          | -3.27 | -2.29 |  0.98 |  0.13
 37 | Cote D'Ivoire    | -3.41 | -2.10 |  1.31 | -2.40
 38 | Germany          | -3.44 | -1.81 |  1.63 | -2.53
 39 | Belgium          | -3.82 | -1.56 |  2.27 | -2.53
 40 | Czechia          | -3.93 | -2.50 |  1.43 | -3.92
 41 | Czech Republic   | -3.93 | -2.50 |  1.43 | -3.92
 42 | Latvia           | -4.45 | -1.98 |  2.48 | -2.71
 43 | Burkina Faso     | -5.15 | -2.17 |  2.99 | -2.35
 44 | Switzerland      | -7.03 | -4.16 |  2.86 | -2.77
(44 rows)

 rk |       team       |  str  |  ofs  |  dfs  |  sos  
----+------------------+-------+-------+-------+-------
  1 | England          |  5.68 |  3.00 | -2.68 |  3.95
  2 | New Zealand      |  5.31 |  2.88 | -2.43 |  4.13
  3 | France           |  4.70 |  2.43 | -2.27 |  4.01
  4 | Canada           |  4.60 |  2.49 | -2.11 |  4.20
  5 | Australia        |  3.79 |  1.88 | -1.91 |  4.31
  6 | Wales            |  3.68 |  2.05 | -1.62 |  3.87
  7 | Scotland         |  3.53 |  1.88 | -1.65 |  3.64
  8 | Italy            |  3.36 |  1.70 | -1.67 |  3.88
  9 | USA              |  3.04 |  1.69 | -1.35 |  4.32
 10 | Ireland          |  2.92 |  1.51 | -1.40 |  3.92
 11 | Japan            |  2.88 |  1.69 | -1.19 |  1.95
 12 | South Africa     |  2.73 |  1.45 | -1.27 |  2.25
 13 | Fiji             |  2.47 |  1.36 | -1.11 |  1.68
 14 | Spain            |  2.34 |  1.25 | -1.09 |  1.86
 15 | Samoa            |  2.31 |  1.29 | -1.01 |  1.57
 16 | Netherlands      |  0.40 |  0.49 |  0.09 | -0.74
 17 | Tonga            |  0.24 |  0.29 |  0.05 |  1.13
 18 | Kenya            |  0.11 |  0.02 | -0.09 | -0.72
 19 | Zimbabwe         | -0.29 |  0.36 |  0.66 | -1.52
 20 | Madagascar       | -0.31 |  0.14 |  0.45 | -0.08
 21 | Portugal         | -0.42 | -0.59 | -0.17 | -2.23
 22 | Colombia         | -0.48 | -0.21 |  0.26 |  0.28
 23 | Hong Kong        | -0.60 |  0.01 |  0.60 |  1.90
 24 | Hong Kong China  | -0.60 |  0.01 |  0.60 |  1.90
 25 | Kazakhstan       | -0.69 | -0.34 |  0.35 |  1.70
 26 | Brazil           | -0.72 | -0.20 |  0.52 | -0.46
 27 | Papua New Guinea | -1.06 | -0.30 |  0.75 |  1.67
 28 | Tunisia          | -1.21 | -0.60 |  0.60 | -1.78
 29 | Senegal          | -1.24 | -0.44 |  0.80 | -1.53
 30 | Russia           | -1.42 | -1.96 | -0.54 | -2.36
 31 | Sweden           | -1.99 | -1.34 |  0.65 | -0.65
 32 | Cameroon         | -1.99 | -1.46 |  0.54 | -2.33
 33 | Zambia           | -2.05 | -0.81 |  1.24 | -1.20
 34 | Uganda           | -2.24 | -0.86 |  1.38 |  0.07
 35 | Finland          | -2.71 | -1.52 |  1.19 | -4.01
 36 | Namibia          | -3.27 | -2.29 |  0.98 |  0.13
 37 | Cote D'Ivoire    | -3.41 | -2.10 |  1.31 | -2.40
 38 | Germany          | -3.44 | -1.81 |  1.63 | -2.53
 39 | Belgium          | -3.82 | -1.56 |  2.27 | -2.53
 40 | Czechia          | -3.93 | -2.50 |  1.43 | -3.92
 41 | Czech Republic   | -3.93 | -2.50 |  1.43 | -3.92
 42 | Latvia           | -4.45 | -1.98 |  2.48 | -2.71
 43 | Burkina Faso     | -5.15 | -2.17 |  2.99 | -2.35
 44 | Switzerland      | -7.03 | -4.16 |  2.86 | -2.77
(44 rows)

COPY 44
COMMIT
