date,event,city,site,team,e_p,opponent,e_p,e_d
2025-04-19,Rugby Europe Championship 2025,Trelleborg,home,Sweden,2.1,Netherlands,45.7,-43.6
2025-04-19,Women's Internationals 2025,Alicante,home,Spain,18.0,South Africa,21.3,-3.4
2025-04-19,Women's Six Nations 2025,Leicester,home,England,58.0,Scotland,7.4,50.6
2025-04-19,Women's Six Nations 2025,Parma,home,Italy,10.6,France,30.0,-19.4
2025-04-20,Women's Six Nations 2025,Newport,home,Wales,17.1,Ireland,26.1,-9.0
2025-04-26,Women's Internationals 2025,Los Angeles,home,United States,28.8,Japan,15.3,13.6
2025-04-26,Women's Six Nations 2025,London,home,England,36.9,France,12.8,24.1
2025-04-26,Women's Six Nations 2025,Parma,home,Italy,19.0,Wales,16.6,2.4
2025-04-26,Women's Six Nations 2025,Edinburgh,home,Scotland,17.8,Ireland,22.8,-5.0
2025-05-02,Pacific Four Series 2025,Kansas City,home,United States,11.3,Canada,41.4,-30.1
2025-05-03,Women's Internationals 2025,Suva,home,Fiji,11.7,Australia,36.1,-24.4
2025-05-10,Pacific Four Series 2025,Newcastle,home,Australia,11.0,New Zealand,44.1,-33.0
2025-05-10,Womens Rugby Europe Conference 2025,Oslo,home,Norway,0.2,Latvia,42.6,-42.5
2025-05-17,Pacific Four Series 2025,Canberra,home,Australia,24.8,United States,18.0,6.8
2025-05-17,Pacific Four Series 2025,Christchurch,home,New Zealand,27.5,Canada,18.4,9.1
2025-05-23,Pacific Four Series 2025,Brisbane,home,Australia,11.7,Canada,34.3,-22.6
2025-05-24,Pacific Four Series 2025,North Harbour,home,New Zealand,58.5,United States,9.7,48.8
2025-07-05,Women's Internationals 2025,Pretoria,home,South Africa,8.6,Canada,51.2,-42.6
2025-07-12,O'Reilly Cup 2025,Wellington,home,New Zealand,48.4,Australia,10.0,38.4
2025-07-12,Women's Internationals 2025,Port Elizabeth,home,South Africa,8.6,Canada,51.2,-42.6
