Round Number,Date,Location,Home Team,Away Team,Result
1,19/02/2021 08:45,Suncorp Stadium,Queensland Reds,NSW Waratahs,41 - 7
1,19/02/2021 11:00,HBF Park,Western Force,Brumbies,11 - 27
2,26/02/2021 08:45,Suncorp Stadium,Queensland Reds,Rebels,23 - 21
2,27/02/2021 08:45,GIO Stadium,Brumbies,NSW Waratahs,61 - 10
3,05/03/2021 08:45,Bankwest Stadium,NSW Waratahs,Western Force,16 - 20
3,06/03/2021 08:45,GIO Stadium,Brumbies,Rebels,27 - 24
4,12/03/2021 09:45,HBF Park,Western Force,Rebels,7 - 10
4,13/03/2021 08:45,GIO Stadium,Brumbies,Queensland Reds,38 - 40
5,19/03/2021 08:45,AAMI Park,Rebels,NSW Waratahs,33 - 14
5,20/03/2021 08:45,Suncorp Stadium,Queensland Reds,Western Force,26 - 19
6,26/03/2021 08:45,GIO Stadium,Brumbies,Western Force,42 - 14
6,27/03/2021 08:45,Stadium Australia,NSW Waratahs,Queensland Reds,14 - 46
7,02/04/2021 08:45,Sydney Cricket Ground,NSW Waratahs,Brumbies,22 - 24
7,03/04/2021 08:45,AAMI Park,Rebels,Queensland Reds,
8,09/04/2021 09:45,AAMI Park,Rebels,Western Force,
8,10/04/2021 09:45,Suncorp Stadium,Queensland Reds,Brumbies,
9,17/04/2021 09:45,HBF Park,Western Force,NSW Waratahs,
9,18/04/2021 04:00,AAMI Park,Rebels,Brumbies,
10,23/04/2021 09:45,HBF Park,Western Force,Queensland Reds,
10,24/04/2021 09:45,Bankwest Stadium,NSW Waratahs,Rebels,
Qualifying Final,30/04/2021 23:00,TBA,To be announced,To be announced,
Final,07/05/2021 23:00,TBA,To be announced,To be announced,
