rk,team,str,ofs,dfs,sos
1,South Africa 7s,2.14,0.99,-1.15,1.11
2,New Zealand 7s,2.02,1.00,-1.02,1.19
3,Fiji 7s,1.84,1.08,-0.76,1.18
4,Australia 7s,1.57,0.91,-0.66,1.15
5,USA 7s,1.52,0.86,-0.66,1.14
6,England 7s,1.44,0.79,-0.65,1.19
7,Great Britain 7s,1.40,0.75,-0.65,1.13
8,Argentina 7s,1.35,0.79,-0.56,1.10
9,France 7s,1.30,0.72,-0.58,1.03
10,Ireland 7s,1.15,0.66,-0.49,0.87
11,Kenya 7s,1.05,0.60,-0.45,1.06
12,Scotland 7s,0.95,0.61,-0.34,1.04
13,Samoa 7s,0.95,0.58,-0.37,1.08
14,Canada 7s,0.92,0.58,-0.35,0.99
15,Germany 7s,0.88,0.29,-0.59,-0.15
16,Spain 7s,0.68,0.40,-0.28,0.97
17,Wales 7s,0.47,0.33,-0.13,1.07
18,Hong Kong 7s,0.34,0.08,-0.26,0.26
19,Japan 7s,0.24,0.17,-0.07,0.95
20,Uruguay 7s,0.16,0.05,-0.11,0.23
21,Russia 7s,0.13,0.01,-0.12,0.92
22,Chile 7s,-0.12,-0.10,0.02,0.23
23,Italy 7s,-0.46,-0.04,0.42,-0.31
24,Uganda 7s,-0.49,-0.16,0.32,0.27
25,Tonga 7s,-0.53,-0.26,0.27,0.45
26,Philippines 7s,-0.61,-0.08,0.53,0.16
27,South Korea 7s,-0.61,-0.31,0.30,0.75
28,Zimbabwe 7s,-0.73,-0.36,0.38,0.33
29,Papua New Guinea 7s,-0.93,-0.49,0.44,0.36
30,Portugal 7s,-0.95,-0.48,0.47,0.95
31,Cook Islands 7s,-0.96,-0.46,0.50,0.64
32,Sri Lanka 7s,-1.07,-0.47,0.60,0.33
33,Georgia 7s,-1.25,-0.67,0.58,0.58
34,Jamaica 7s,-1.34,-0.80,0.54,0.15
35,Colombia 7s,-1.58,-0.57,1.01,-0.97
36,Brazil 7s,-1.92,-0.97,0.95,0.56
37,Paraguay 7s,-1.98,-0.81,1.18,-0.67
38,Mexico 7s,-2.04,-1.24,0.80,-0.14
39,Malaysia 7s,-2.35,-1.79,0.56,0.31
40,Zambia 7s,-2.50,-1.99,0.51,1.33
