date,event,city,site,team,e_p,opponent,e_p,e_d
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,away,Argentina,25.7,Spain,13.9,11.8
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Argentina,61.3,Jamaica,3.7,57.6
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Australia,21.2,Germany,10.6,10.6
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Australia,35.5,Japan,8.8,26.7
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,England,15.7,Fiji,23.3,-7.7
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,England,24.3,Scotland,15.0,9.3
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,France,27.3,Wales,9.9,17.4
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,France,21.9,Canada,13.8,8.1
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Ireland,16.1,Germany,12.4,3.7
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Ireland,26.9,Japan,10.3,16.6
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Kenya,24.4,Wales,11.6,12.8
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Kenya,19.6,Canada,16.1,3.4
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,South Africa,31.1,Scotland,8.4,22.7
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,South Africa,20.0,Fiji,13.1,7.0
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,United States,62.5,Jamaica,3.3,59.2
2022-01-21,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,away,United States,26.2,Spain,12.6,13.6
2022-01-22,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Argentina,17.3,United States,19.4,-2.1
2022-01-22,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Australia,23.6,Ireland,15.3,8.3
2022-01-22,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Canada,23.8,Wales,13.7,10.1
2022-01-22,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Fiji,32.0,Scotland,13.2,18.8
2022-01-22,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,France,18.5,Kenya,14.2,4.3
2022-01-22,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Japan,9.3,Germany,18.6,-9.4
2022-01-22,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,South Africa,22.7,England,9.9,12.8
2022-01-22,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,home,Spain,44.7,Jamaica,4.9,39.7
